iter	Passed	Remaining
0	179	179679
1	184	91832
2	186	61862
3	188	46849
4	189	37788
5	191	31741
6	193	27431
7	196	24388
8	198	21847
9	200	19845
10	202	18177
11	203	16792
12	205	15612
13	210	14798
14	212	13934
15	214	13202
16	216	12520
17	218	11903
18	219	11353
19	223	10938
20	224	10487
21	226	10074
22	227	9680
23	229	9323
24	231	9010
25	234	8796
26	235	8502
27	237	8240
28	238	7997
29	240	7764
30	241	7549
31	242	7339
32	243	7139
33	244	6960
34	248	6851
35	249	6682
36	250	6521
37	251	6377
38	253	6240
39	254	6117
40	256	6003
41	258	5886
42	263	5861
43	264	5749
44	265	5640
45	266	5537
46	268	5437
47	269	5341
48	270	5250
49	271	5163
50	276	5148
51	278	5069
52	279	4990
53	280	4913
54	281	4838
55	282	4767
56	284	4707
57	285	4641
58	289	4618
59	290	4557
60	292	4500
61	293	4445
62	295	4395
63	297	4344
64	298	4293
65	299	4244
66	305	4250
67	306	4203
68	308	4157
69	309	4112
70	310	4066
71	311	4020
72	313	3977
73	319	4002
74	321	3963
75	322	3922
76	324	3884
77	325	3845
78	326	3810
79	328	3774
80	330	3752
81	332	3727
82	333	3687
83	335	3654
84	336	3627
85	339	3613
86	341	3584
87	342	3553
88	346	3542
89	347	3516
90	349	3486
91	350	3458
92	351	3430
93	353	3405
94	354	3378
95	355	3351
96	359	3348
97	361	3327
98	362	3301
99	364	3278
100	366	3261
101	368	3240
102	369	3216
103	370	3193
104	373	3186
105	376	3177
106	378	3156
107	380	3142
108	383	3135
109	387	3131
110	390	3123
111	391	3105
112	393	3085
113	394	3065
114	395	3045
115	397	3027
116	401	3032
117	403	3017
118	405	3002
119	407	2989
120	409	2973
121	410	2955
122	415	2962
123	417	2952
124	420	2944
125	422	2928
126	423	2909
127	426	2902
128	432	2917
129	433	2902
130	434	2885
131	436	2871
132	438	2858
133	442	2861
134	444	2847
135	446	2833
136	447	2818
137	448	2801
138	449	2785
139	451	2771
140	452	2758
141	458	2767
142	460	2757
143	462	2747
144	463	2733
145	464	2719
146	466	2707
147	472	2719
148	474	2707
149	475	2696
150	477	2685
151	479	2673
152	480	2661
153	482	2652
154	484	2642
155	486	2631
156	488	2623
157	490	2614
158	492	2605
159	497	2614
160	499	2603
161	501	2592
162	502	2582
163	504	2572
164	506	2563
165	508	2553
166	511	2549
167	512	2539
168	514	2530
169	516	2520
170	517	2510
171	519	2499
172	520	2489
173	524	2488
174	525	2476
175	526	2463
176	527	2451
177	528	2439
178	529	2427
179	530	2415
180	531	2403
181	532	2393
182	533	2382
183	534	2370
184	536	2363
185	538	2357
186	539	2346
187	540	2336
188	541	2325
189	545	2327
190	549	2328
191	551	2322
192	553	2312
193	554	2304
194	555	2294
195	556	2284
196	558	2274
197	559	2265
198	560	2257
199	564	2257
200	565	2249
201	566	2239
202	568	2230
203	569	2221
204	570	2211
205	571	2201
206	572	2192
207	573	2185
208	575	2177
209	580	2184
210	582	2176
211	583	2168
212	585	2163
213	587	2158
214	589	2150
215	591	2147
216	593	2142
217	595	2136
218	597	2129
219	598	2122
220	599	2113
221	600	2104
222	606	2113
223	608	2107
224	609	2100
225	611	2093
226	612	2087
227	614	2079
228	615	2071
229	618	2071
230	619	2063
231	620	2054
232	622	2049
233	623	2041
234	624	2033
235	625	2024
236	626	2016
237	627	2008
238	628	2000
239	629	1993
240	632	1993
241	634	1986
242	635	1978
243	636	1972
244	637	1964
245	638	1957
246	639	1949
247	640	1942
248	641	1934
249	642	1927
250	643	1920
251	644	1912
252	647	1912
253	648	1905
254	650	1900
255	651	1893
256	652	1886
257	653	1879
258	654	1872
259	655	1865
260	656	1858
261	657	1851
262	659	1847
263	661	1843
264	662	1837
265	664	1832
266	665	1827
267	666	1821
268	667	1815
269	669	1810
270	671	1805
271	674	1804
272	675	1798
273	676	1793
274	677	1787
275	679	1782
276	680	1777
277	682	1771
278	683	1765
279	684	1759
280	688	1760
281	690	1757
282	691	1751
283	692	1746
284	694	1741
285	695	1736
286	697	1733
287	702	1736
288	703	1731
289	704	1725
290	705	1720
291	706	1714
292	707	1708
293	708	1702
294	709	1696
295	710	1690
296	711	1685
297	712	1679
298	716	1680
299	717	1674
300	718	1669
301	719	1663
302	720	1658
303	721	1652
304	722	1646
305	723	1641
306	724	1635
307	725	1630
308	726	1625
309	727	1619
310	731	1619
311	732	1615
312	733	1609
313	734	1604
314	735	1599
315	736	1593
316	737	1588
317	738	1583
318	739	1578
319	740	1573
320	741	1568
321	742	1562
322	746	1565
323	747	1560
324	748	1555
325	749	1550
326	750	1545
327	751	1540
328	752	1535
329	753	1530
330	754	1525
331	755	1520
332	757	1516
333	761	1518
334	763	1514
335	764	1510
336	766	1508
337	767	1504
338	769	1500
339	771	1497
340	773	1495
341	775	1491
342	776	1487
343	777	1483
344	780	1481
345	782	1478
346	786	1480
347	788	1477
348	790	1473
349	791	1470
350	793	1466
351	794	1462
352	796	1459
353	797	1454
354	801	1456
355	804	1454
356	806	1452
357	808	1449
358	810	1446
359	811	1442
360	815	1444
361	817	1440
362	819	1437
363	820	1433
364	822	1430
365	824	1428
366	826	1425
367	829	1424
368	832	1423
369	834	1421
370	840	1424
371	842	1423
372	845	1420
373	847	1418
374	849	1415
375	851	1412
376	856	1415
377	858	1412
378	860	1410
379	862	1407
380	864	1404
381	865	1400
382	870	1402
383	871	1398
384	873	1394
385	874	1391
386	876	1388
387	877	1384
388	878	1380
389	880	1376
390	884	1377
391	887	1376
392	888	1372
393	890	1369
394	892	1366
395	894	1363
396	896	1361
397	898	1358
398	899	1355
399	901	1351
400	902	1348
401	904	1345
402	906	1342
403	912	1345
404	914	1343
405	916	1341
406	919	1339
407	920	1335
408	922	1332
409	924	1329
410	925	1327
411	928	1324
412	930	1321
413	931	1318
414	933	1316
415	935	1312
416	936	1309
417	938	1306
418	939	1302
419	940	1299
420	942	1295
421	943	1292
422	944	1288
423	949	1290
424	952	1288
425	954	1285
426	955	1282
427	956	1278
428	958	1275
429	963	1276
430	964	1273
431	966	1270
432	967	1266
433	970	1265
434	972	1263
435	974	1260
436	977	1259
437	978	1255
438	979	1251
439	980	1247
440	981	1243
441	982	1240
442	983	1236
443	984	1232
444	985	1229
445	986	1225
446	987	1221
447	991	1221
448	992	1217
449	993	1213
450	994	1210
451	995	1206
452	996	1202
453	997	1199
454	998	1195
455	999	1192
456	1000	1188
457	1001	1185
458	1002	1181
459	1006	1181
460	1007	1177
461	1008	1174
462	1010	1171
463	1011	1168
464	1012	1165
465	1014	1162
466	1015	1158
467	1016	1155
468	1021	1156
469	1022	1152
470	1023	1149
471	1024	1145
472	1025	1142
473	1026	1139
474	1027	1135
475	1028	1132
476	1029	1128
477	1030	1125
478	1032	1123
479	1034	1120
480	1035	1117
481	1036	1114
482	1037	1110
483	1038	1107
484	1039	1103
485	1040	1100
486	1041	1097
487	1042	1093
488	1043	1090
489	1044	1087
490	1048	1086
491	1049	1084
492	1051	1081
493	1052	1078
494	1053	1075
495	1055	1072
496	1056	1068
497	1057	1065
498	1058	1062
499	1059	1059
500	1062	1058
501	1064	1055
502	1065	1052
503	1065	1049
504	1066	1045
505	1068	1043
506	1069	1039
507	1070	1036
508	1071	1033
509	1072	1030
510	1073	1027
511	1074	1023
512	1077	1023
513	1078	1020
514	1079	1016
515	1080	1013
516	1082	1011
517	1083	1008
518	1084	1005
519	1085	1001
520	1086	998
521	1087	995
522	1088	992
523	1092	992
524	1093	989
525	1094	986
526	1095	983
527	1097	980
528	1098	977
529	1099	974
530	1099	971
531	1100	968
532	1101	965
533	1102	962
534	1106	961
535	1107	958
536	1109	956
537	1111	954
538	1112	951
539	1113	948
540	1115	946
541	1117	943
542	1121	943
543	1122	940
544	1123	937
545	1124	934
546	1125	931
547	1126	929
548	1127	926
549	1128	923
550	1129	920
551	1130	917
552	1131	914
553	1132	911
554	1135	910
555	1136	907
556	1137	904
557	1138	902
558	1140	899
559	1141	896
560	1142	894
561	1144	891
562	1145	889
563	1148	888
564	1150	885
565	1151	882
566	1152	879
567	1153	876
568	1155	875
569	1156	872
570	1157	869
571	1158	866
572	1159	863
573	1160	861
574	1163	860
575	1164	857
576	1165	854
577	1167	852
578	1168	849
579	1169	846
580	1170	843
581	1171	841
582	1172	838
583	1173	835
584	1174	832
585	1179	833
586	1181	831
587	1183	829
588	1185	827
589	1187	825
590	1189	823
591	1194	823
592	1196	820
593	1198	818
594	1200	817
595	1202	815
596	1209	816
597	1211	814
598	1213	812
599	1215	810
600	1217	807
601	1218	805
602	1224	806
603	1226	804
604	1228	802
605	1230	799
606	1231	797
607	1232	794
608	1236	793
609	1238	791
610	1239	789
611	1240	786
612	1242	784
613	1243	781
614	1244	779
615	1245	776
616	1246	773
617	1247	771
618	1250	769
619	1251	767
620	1253	764
621	1254	762
622	1255	759
623	1256	757
624	1258	754
625	1259	752
626	1260	749
627	1262	748
628	1264	745
629	1266	743
630	1268	741
631	1269	739
632	1271	737
633	1277	737
634	1280	736
635	1282	733
636	1283	731
637	1285	729
638	1290	728
639	1291	726
640	1293	724
641	1294	721
642	1295	719
643	1296	716
644	1297	713
645	1298	711
646	1300	709
647	1304	708
648	1306	706
649	1307	704
650	1308	701
651	1309	698
652	1310	696
653	1311	693
654	1312	691
655	1313	688
656	1315	686
657	1318	685
658	1319	682
659	1320	680
660	1321	677
661	1322	675
662	1323	672
663	1324	670
664	1325	667
665	1326	665
666	1327	662
667	1328	660
668	1329	658
669	1333	656
670	1334	654
671	1335	652
672	1336	649
673	1337	647
674	1338	644
675	1339	642
676	1340	639
677	1341	637
678	1342	634
679	1343	632
680	1347	630
681	1348	628
682	1349	626
683	1350	624
684	1351	621
685	1352	619
686	1353	616
687	1354	614
688	1355	611
689	1356	609
690	1357	607
691	1358	604
692	1363	603
693	1364	601
694	1366	599
695	1367	597
696	1368	594
697	1369	592
698	1371	590
699	1374	589
700	1376	587
701	1377	584
702	1378	582
703	1379	580
704	1380	577
705	1381	575
706	1382	572
707	1383	570
708	1384	568
709	1385	565
710	1386	563
711	1388	561
712	1390	559
713	1393	558
714	1396	556
715	1397	554
716	1398	551
717	1399	549
718	1400	547
719	1401	545
720	1404	543
721	1405	541
722	1407	539
723	1408	536
724	1409	534
725	1410	532
726	1411	529
727	1412	527
728	1413	525
729	1414	523
730	1415	520
731	1419	519
732	1420	517
733	1421	515
734	1422	512
735	1424	510
736	1425	508
737	1426	506
738	1427	504
739	1429	502
740	1433	501
741	1435	499
742	1436	496
743	1437	494
744	1438	492
745	1439	490
746	1440	487
747	1441	485
748	1442	483
749	1443	481
750	1444	479
751	1449	477
752	1450	475
753	1451	473
754	1453	471
755	1454	469
756	1455	467
757	1457	465
758	1458	463
759	1462	461
760	1463	459
761	1464	457
762	1465	455
763	1466	453
764	1467	450
765	1468	448
766	1469	446
767	1470	444
768	1471	442
769	1472	439
770	1474	437
771	1476	436
772	1477	434
773	1478	431
774	1479	429
775	1480	427
776	1481	425
777	1482	423
778	1483	420
779	1484	418
780	1485	416
781	1487	414
782	1490	413
783	1491	411
784	1492	408
785	1494	406
786	1495	404
787	1496	402
788	1497	400
789	1498	398
790	1499	396
791	1500	394
792	1501	391
793	1504	390
794	1506	388
795	1508	386
796	1510	384
797	1511	382
798	1513	380
799	1514	378
800	1516	376
801	1519	375
802	1520	373
803	1522	371
804	1524	369
805	1527	367
806	1529	365
807	1534	364
808	1536	362
809	1537	360
810	1540	358
811	1542	357
812	1547	356
813	1549	354
814	1552	352
815	1554	350
816	1556	348
817	1557	346
818	1562	345
819	1563	343
820	1565	341
821	1566	339
822	1568	337
823	1570	335
824	1572	333
825	1576	332
826	1577	330
827	1579	328
828	1581	326
829	1582	324
830	1584	322
831	1586	320
832	1591	318
833	1592	317
834	1594	315
835	1595	313
836	1597	311
837	1598	309
838	1600	307
839	1604	305
840	1605	303
841	1607	301
842	1609	299
843	1610	297
844	1611	295
845	1613	293
846	1615	291
847	1618	290
848	1620	288
849	1622	286
850	1624	284
851	1625	282
852	1627	280
853	1628	278
854	1630	276
855	1633	274
856	1635	272
857	1637	270
858	1638	269
859	1640	267
860	1642	265
861	1646	263
862	1648	261
863	1649	259
864	1651	257
865	1652	255
866	1654	253
867	1656	251
868	1662	250
869	1664	248
870	1665	246
871	1667	244
872	1669	242
873	1670	240
874	1672	238
875	1676	237
876	1678	235
877	1680	233
878	1681	231
879	1682	229
880	1684	227
881	1685	225
882	1687	223
883	1689	221
884	1691	219
885	1693	217
886	1694	215
887	1695	213
888	1697	211
889	1698	209
890	1700	207
891	1703	206
892	1705	204
893	1707	202
894	1708	200
895	1710	198
896	1711	196
897	1713	194
898	1714	192
899	1718	190
900	1720	189
901	1721	187
902	1722	185
903	1724	183
904	1725	181
905	1727	179
906	1728	177
907	1733	175
908	1735	173
909	1737	171
910	1739	169
911	1740	167
912	1742	166
913	1748	164
914	1749	162
915	1751	160
916	1752	158
917	1754	156
918	1755	154
919	1756	152
920	1757	150
921	1761	149
922	1762	147
923	1764	145
924	1765	143
925	1767	141
926	1768	139
927	1769	137
928	1771	135
929	1772	133
930	1775	131
931	1777	129
932	1778	127
933	1780	125
934	1781	123
935	1783	121
936	1784	120
937	1786	118
938	1789	116
939	1790	114
940	1792	112
941	1793	110
942	1795	108
943	1796	106
944	1798	104
945	1799	102
946	1801	100
947	1803	98
948	1804	96
949	1806	95
950	1808	93
951	1809	91
952	1811	89
953	1814	87
954	1815	85
955	1817	83
956	1819	81
957	1820	79
958	1822	77
959	1825	76
960	1828	74
961	1829	72
962	1831	70
963	1832	68
964	1834	66
965	1835	64
966	1837	62
967	1841	60
968	1843	58
969	1844	57
970	1846	55
971	1847	53
972	1849	51
973	1850	49
974	1852	47
975	1856	45
976	1858	43
977	1859	41
978	1860	39
979	1861	37
980	1862	36
981	1863	34
982	1864	32
983	1865	30
984	1866	28
985	1868	26
986	1870	24
987	1871	22
988	1873	20
989	1874	18
990	1876	17
991	1878	15
992	1880	13
993	1885	11
994	1886	9
995	1887	7
996	1888	5
997	1889	3
998	1890	1
999	1891	0
